Entrenando Modelo Final...
DEBUG: Cargando 2000 señales desde Prm/mfcc_optimo...
DEBUG: Cargadas 2000 señales. Con etiqueta válida: 2000
DEBUG: Cargando 2000 señales desde Prm/mfcc_optimo...
DEBUG: Cargadas 2000 señales. Con etiqueta válida: 2000
--- Inicio entrenamiento: 400 épocas (17:56:47) ---
  Epo 270: Loss=0.1026 | Acc=95.95%
  Epo 271: Loss=0.1024 | Acc=95.95%
  Epo 272: Loss=0.1023 | Acc=96.05%
  Epo 273: Loss=0.1021 | Acc=96.10%
  Epo 274: Loss=0.1020 | Acc=96.10%
  Epo 275: Loss=0.1019 | Acc=96.10%
  Epo 276: Loss=0.1017 | Acc=96.10%
  Epo 277: Loss=0.1016 | Acc=96.10%
  Epo 278: Loss=0.1015 | Acc=96.10%
  Epo 279: Loss=0.1013 | Acc=96.10%
  Epo 280: Loss=0.1012 | Acc=96.10%
  Epo 281: Loss=0.1011 | Acc=96.10%
  Epo 282: Loss=0.1009 | Acc=96.10%
  Epo 283: Loss=0.1008 | Acc=96.10%
  Epo 284: Loss=0.1007 | Acc=96.15%
  Epo 285: Loss=0.1005 | Acc=96.15%
  Epo 286: Loss=0.1004 | Acc=96.15%
  Epo 287: Loss=0.1003 | Acc=96.15%
  Epo 288: Loss=0.1002 | Acc=96.15%
  Epo 289: Loss=0.1000 | Acc=96.15%
  Epo 290: Loss=0.0999 | Acc=96.15%
  Epo 291: Loss=0.0998 | Acc=96.15%
  Epo 292: Loss=0.0997 | Acc=96.15%
  Epo 293: Loss=0.0996 | Acc=96.15%
  Epo 294: Loss=0.0995 | Acc=96.15%
  Epo 295: Loss=0.0993 | Acc=96.15%
  Epo 296: Loss=0.0992 | Acc=96.15%
  Epo 297: Loss=0.0991 | Acc=96.20%
  Epo 298: Loss=0.0990 | Acc=96.20%
  Epo 299: Loss=0.0989 | Acc=96.20%
  Epo 300: Loss=0.0988 | Acc=96.20%
  Epo 301: Loss=0.0987 | Acc=96.20%
  Epo 302: Loss=0.0986 | Acc=96.20%
  Epo 303: Loss=0.0985 | Acc=96.20%
  Epo 304: Loss=0.0984 | Acc=96.25%
  Epo 305: Loss=0.0983 | Acc=96.30%
  Epo 306: Loss=0.0982 | Acc=96.30%
  Epo 307: Loss=0.0981 | Acc=96.30%
  Epo 308: Loss=0.0980 | Acc=96.30%
  Epo 309: Loss=0.0979 | Acc=96.30%
  Epo 310: Loss=0.0978 | Acc=96.30%
  Epo 311: Loss=0.0977 | Acc=96.30%
  Epo 312: Loss=0.0976 | Acc=96.30%
  Epo 313: Loss=0.0975 | Acc=96.30%
  Epo 314: Loss=0.0974 | Acc=96.30%
  Epo 315: Loss=0.0974 | Acc=96.30%
  Epo 316: Loss=0.0973 | Acc=96.30%
  Epo 317: Loss=0.0972 | Acc=96.30%
  Epo 318: Loss=0.0971 | Acc=96.30%
  Epo 319: Loss=0.0970 | Acc=96.30%
  Epo 320: Loss=0.0969 | Acc=96.30%
  Epo 321: Loss=0.0968 | Acc=96.30%
  Epo 322: Loss=0.0968 | Acc=96.30%
  Epo 323: Loss=0.0967 | Acc=96.30%
  Epo 324: Loss=0.0966 | Acc=96.30%
  Epo 325: Loss=0.0965 | Acc=96.30%
  Epo 326: Loss=0.0965 | Acc=96.30%
  Epo 327: Loss=0.0964 | Acc=96.30%
  Epo 328: Loss=0.0963 | Acc=96.35%
  Epo 329: Loss=0.0962 | Acc=96.35%
  Epo 330: Loss=0.0962 | Acc=96.35%
  Epo 331: Loss=0.0961 | Acc=96.35%
  Epo 332: Loss=0.0960 | Acc=96.35%
  Epo 333: Loss=0.0960 | Acc=96.35%
  Epo 334: Loss=0.0959 | Acc=96.35%
  Epo 335: Loss=0.0958 | Acc=96.35%
  Epo 336: Loss=0.0958 | Acc=96.35%
  Epo 337: Loss=0.0957 | Acc=96.35%
  Epo 338: Loss=0.0956 | Acc=96.35%
  Epo 339: Loss=0.0956 | Acc=96.35%
  Epo 340: Loss=0.0955 | Acc=96.35%
